Fecha,Clics,Impresiones,CPM prom.,Costo
"vie, 28 feb 2025",38,"6,164",ARS665.27,ARS 5535.99
"sáb, 1 mar 2025","1,230","355,189",ARS722.15,ARS 346276.59
"dom, 2 mar 2025","5,017","1,288,546","ARS1,129.22",ARS 1964312.22
"lun, 3 mar 2025","2,866","999,966","ARS1,047.78",ARS 1414461.39
"mar, 4 mar 2025","2,731","968,452","ARS1,042.75",ARS 1363297.05
"mié, 5 mar 2025","3,123","935,732","ARS1,020.28",ARS 1288850.68
"jue, 6 mar 2025","1,123","512,109","ARS1,014.73",ARS 701529.81
"vie, 7 mar 2025",0,0,ARS0.00,ARS 0.00
"sáb, 8 mar 2025",0,0,ARS0.00,ARS 0.00
"dom, 9 mar 2025","1,235","178,088","ARS1,123.56",ARS 270124.28
