Día,Hora de inicio,Impresiones
Domingo,12 a.m.,"38,882"
Domingo,1 a.m.,"27,797"
Domingo,2 a.m.,"17,482"
Domingo,3 a.m.,"24,755"
Domingo,4 a.m.,"16,089"
Domingo,5 a.m.,"12,643"
Domingo,6 a.m.,"12,801"
Domingo,7 a.m.,"27,169"
Domingo,8 a.m.,"50,463"
Domingo,9 a.m.,"78,207"
Domingo,10 a.m.,"108,831"
Domingo,11 a.m.,"125,375"
Domingo,12 p.m.,"123,724"
Domingo,1 p.m.,"122,170"
Domingo,2 p.m.,"118,092"
Domingo,3 p.m.,"86,682"
Domingo,4 p.m.,"77,724"
Domingo,5 p.m.,"75,363"
Domingo,6 p.m.,"73,661"
Domingo,7 p.m.,"78,570"
Domingo,8 p.m.,"73,738"
Domingo,9 p.m.,"35,566"
Domingo,10 p.m.,"38,935"
Domingo,11 p.m.,"21,591"
Lunes,12 a.m.,"81,730"
Lunes,1 a.m.,"46,837"
Lunes,2 a.m.,"27,863"
Lunes,3 a.m.,"19,039"
Lunes,4 a.m.,"14,560"
Lunes,5 a.m.,"15,484"
Lunes,6 a.m.,"28,272"
Lunes,7 a.m.,"39,576"
Lunes,8 a.m.,"54,043"
Lunes,9 a.m.,"74,029"
Lunes,10 a.m.,"83,451"
Lunes,11 a.m.,"88,411"
Lunes,12 p.m.,"104,006"
Lunes,1 p.m.,"118,364"
Lunes,2 p.m.,"121,116"
Lunes,3 p.m.,"90,018"
Lunes,4 p.m.,"68,289"
Lunes,5 p.m.,"68,479"
Lunes,6 p.m.,"78,679"
Lunes,7 p.m.,"86,769"
Lunes,8 p.m.,"61,309"
Lunes,9 p.m.,"42,133"
Lunes,10 p.m.,"38,824"
Lunes,11 p.m.,"22,808"
Martes,12 a.m.,"66,980"
Martes,1 a.m.,"40,929"
Martes,2 a.m.,"26,993"
Martes,3 a.m.,"17,846"
Martes,4 a.m.,"12,071"
Martes,5 a.m.,"10,556"
Martes,6 a.m.,"16,720"
Martes,7 a.m.,"23,643"
Martes,8 a.m.,"36,156"
Martes,9 a.m.,"53,468"
Martes,10 a.m.,"65,653"
Martes,11 a.m.,"74,215"
Martes,12 p.m.,"77,429"
Martes,1 p.m.,"76,153"
Martes,2 p.m.,"47,547"
Martes,3 p.m.,"35,572"
Martes,4 p.m.,"36,685"
Martes,5 p.m.,"36,929"
Martes,6 p.m.,"37,605"
Martes,7 p.m.,"39,792"
Martes,8 p.m.,"40,973"
Martes,9 p.m.,"40,689"
Martes,10 p.m.,"37,296"
Martes,11 p.m.,"16,706"
Miércoles,12 a.m.,"57,701"
Miércoles,1 a.m.,"30,950"
Miércoles,2 a.m.,"18,402"
Miércoles,3 a.m.,"12,986"
Miércoles,4 a.m.,"9,745"
Miércoles,5 a.m.,"13,283"
Miércoles,6 a.m.,"30,999"
Miércoles,7 a.m.,"43,698"
Miércoles,8 a.m.,"47,208"
Miércoles,9 a.m.,"50,847"
Miércoles,10 a.m.,"57,478"
Miércoles,11 a.m.,"66,763"
Miércoles,12 p.m.,"73,427"
Miércoles,1 p.m.,"72,806"
Miércoles,2 p.m.,"69,306"
Miércoles,3 p.m.,"60,304"
Miércoles,4 p.m.,"32,647"
Miércoles,5 p.m.,"28,013"
Miércoles,6 p.m.,"28,515"
Miércoles,7 p.m.,"27,738"
Miércoles,8 p.m.,"29,726"
Miércoles,9 p.m.,"30,712"
Miércoles,10 p.m.,"29,127"
Miércoles,11 p.m.,"13,317"
