Fecha,Clics,Impresiones,CPM prom.,Costo
"vie, 28 feb 2025",38,"6,164",ARS665.27,ARS 5535.99
"sáb, 1 mar 2025","1,230","355,159",ARS722.20,ARS 346270.01
"dom, 2 mar 2025","4,948","1,288,226","ARS1,129.30",ARS 1963973.86
"lun, 3 mar 2025","2,845","999,767","ARS1,047.88",ARS 1414304.79
"mar, 4 mar 2025","2,731","968,294","ARS1,042.84",ARS 1363201.61
"mié, 5 mar 2025","3,122","935,698","ARS1,020.28",ARS 1288806.47
"jue, 6 mar 2025","1,122","512,078","ARS1,014.72",ARS 701484.21
"vie, 7 mar 2025",0,0,ARS0.00,ARS 0.00
"sáb, 8 mar 2025",0,0,ARS0.00,ARS 0.00
"dom, 9 mar 2025","1,221","178,084","ARS1,123.58",ARS 270123.86
"lun, 10 mar 2025","2,310","474,322","ARS1,166.65",ARS 747044.41
"mar, 11 mar 2025",2,312,"ARS1,080.01",ARS 454.90
